# Polynomial: y = 19.1726x^0 + 80.3243x^1 + 87.5079x^2 + 64.3090x^3 + 79.0277x^4 + 52.2716x^5 + 55.6271x^6 + 65.4306x^7 + 26.1558x^8
x,y
5.8697,55311390.97206
5.0693,18217534.56313
8.6183,1052878280.46580
9.5513,2333215220.14484
8.5266,969351600.70339
9.0924,1593212982.76074
3.2640,694247.23609
3.1220,502817.04561
6.4915,119186502.77611
1.2932,1679.10402
3.7028,1748131.58751
8.5836,1020558986.54452
1.4797,3488.87095
9.1254,1638534056.04095
5.4804,32850708.64779
7.3033,293995347.27617
5.9386,60446724.95741
1.6422,6452.95588
3.7441,1897070.63526
1.1240,858.35602
3.2715,705933.05154
8.3076,792903629.88879
3.1757,568905.37113
7.0056,213613431.35330
3.8692,2418307.06440
7.9939,589222868.72872
4.8537,13130729.80368
7.4815,353832901.34504
7.4429,340038091.99185
9.8086,2867511084.29069
9.2614,1837437440.98587
1.8359,12952.85069
8.8220,1261291939.03418
1.6381,6355.65752
1.3349,1980.52922
1.7413,9264.95706
8.7559,1190026181.09111
8.3154,798667967.88536
8.4956,942457348.65805
1.4402,2993.73841
3.0338,408835.01026
6.3384,99323313.67932
3.2752,711761.42404
4.3413,5690047.67424
4.1822,4307521.22980
7.7851,480534504.04003
1.8787,15022.98291
9.8370,2932576732.60886
7.6878,436188773.17154
1.2429,1375.12699
9.9754,3268498221.91843
1.5163,4015.85875
2.6905,173324.21582
2.7805,218931.61076
7.1598,252445733.02660
2.8509,261667.33942
5.0699,18233807.23393
7.5295,371668380.88194
3.5711,1339351.43531
9.8251,2905157761.91835
5.5120,34313869.50425
5.7278,45923186.78684
1.5359,4327.96248
6.1332,77272262.10124
2.0254,24582.73778
2.5618,122676.85047
4.3739,6016993.89941
9.5795,2387167540.16266
6.3570,101570352.32958
5.8267,52303696.92355
3.5298,1229773.32701
5.5409,35701632.84083
8.4396,895525571.65173
3.1153,495064.83503
7.7976,486508009.38300
8.7917,1228173532.71119
6.2264,86689585.44946
7.4905,357118819.87639
4.5589,8203033.55303
4.2976,5276242.26623
9.8864,3048836108.07173
2.2109,44293.18596
3.8156,2181352.01061
4.1144,3814319.29967
3.4178,971183.91984
9.5870,2401699027.04550
9.7555,2749238270.93627
2.8234,244171.21943
1.4859,3573.29634
1.9439,18754.73591
2.1321,34647.48636
9.1843,1722234310.51266
5.2102,22407028.15630
5.2239,22856121.06293
8.2439,747174468.74504
5.7794,49161469.46916
5.4307,30659867.29263
3.6776,1662381.00317
7.0396,221693825.76209
5.7472,47118074.82380
4.2229,4629685.43971
8.5575,996824983.25949
5.9444,60897461.95173
2.1183,33166.33652
8.0577,626460881.13493
7.5298,371782280.97031
6.0387,68650054.74824
3.7395,1879949.14548
8.7529,1186877080.28315
5.3797,28545738.76747
3.1001,477866.05043
8.4340,890946875.20808
3.3316,805988.43769
1.7778,10556.27893
3.0822,458287.47063
7.2933,290917439.65021
1.1449,932.17594
8.1171,662965463.59650
1.6718,7197.20801
3.6974,1729436.90718
5.4586,31873424.61972
6.1765,81529748.58203
6.1484,78744091.23334
1.0012,532.26480
9.0890,1588606474.31152
8.1220,666058219.84093
7.5956,397514828.37704
4.8222,12503138.45805
1.8274,12573.89513
2.0885,30159.23411
7.4601,346125743.36185
9.7326,2699563808.67640
3.0807,456679.30306
9.7525,2742685514.09923
7.3276,301593705.01186
2.1177,33103.24154
7.2338,273180120.20635
7.2656,282538371.94938
3.0984,475975.55671
9.5177,2270326959.50324
9.8940,3067075413.69942
8.5467,987146185.11363
8.0590,627240571.89985
6.1322,77176281.03296
1.5301,4233.31457
2.1363,35109.84564
6.4447,112775590.99142
9.7783,2799488510.70220
9.9615,3233305156.94681
7.6374,414659307.40457
9.2519,1822887819.77857
7.8107,492837873.29047
7.6418,416501073.27099
5.8645,54939805.47293
5.5067,34064556.68213
3.8460,2313110.93428
4.2616,4955402.29232
9.6672,2561996105.61439
5.3060,25716240.92162
9.5309,2294853891.59823
4.4711,7091556.08170
9.1318,1647452999.52832
8.2636,761063631.03690
7.8520,513268108.88038
5.5232,34845978.90158
4.8719,13505768.06214
5.0742,18350800.91191
5.5326,35298131.25704
8.3603,832568435.97374
2.9198,310440.21832
4.6201,9065330.42003
4.4344,6667575.60566
1.7695,10249.01126
5.1105,19364929.98121
7.6967,440090513.07129
2.8847,284677.45888
1.1435,927.03205
9.9930,3313539779.30257
3.6117,1455328.84880
3.5311,1233098.69937
7.5168,366874529.17408
9.9593,3227765532.78620
5.2269,22955507.54116
9.1143,1623165410.84017
5.0110,16695732.05020
5.7442,46931538.55345
2.7600,207704.58759
4.5811,8507134.74941
8.7190,1151795684.84577
5.2813,24824545.16329
9.8714,3013115780.62916
9.4221,2099433955.97503
1.8926,15757.00353
8.7372,1170515419.93216
5.7578,47782377.31017
9.5721,2372905262.59952
7.7131,447360282.43834
5.4292,30595784.05233
5.3296,26594291.97258
8.1058,655881046.36762
9.7426,2721158269.11183
5.6640,42178504.97842
2.0228,24374.22741
1.0262,585.92950
1.9594,19756.51133
7.4515,343070102.45646
5.6634,42144597.36266
6.4344,111405874.80470
9.0904,1590501858.60834
1.7793,10612.69618
7.7010,441986540.38156
7.5784,390642350.62226
8.5566,996015257.52036
3.4065,947962.55211
9.2026,1748990074.30715
1.8500,13604.36012
8.7540,1188030902.91511
4.0633,3476023.07500
4.7588,11319113.80469
1.4724,3391.88237
3.3499,838829.80914
6.3432,99898988.80701
1.8469,13458.62688
3.6122,1456810.36822
5.1354,20088631.12382
3.2280,640487.75768
2.0678,28216.39837
3.2119,617653.45744
5.0290,17153236.57614
2.5434,116627.21331
2.5141,107537.13720
9.7287,2691182700.41577
6.6463,142721804.83560
1.9344,18163.58650
3.2335,648456.45512
4.1082,3771793.22717
8.4292,887038594.94961
5.4966,33593837.65446
9.0417,1525719790.61029
1.9778,21008.03697
1.1725,1039.79351
7.5570,382237016.04818
5.5350,35414394.08429
7.3760,317241477.48541
2.6957,175710.45688
3.2057,609052.76799
8.8568,1300290736.87970
3.6057,1437653.42433
8.9478,1407299647.06195
9.3449,1969756381.70299
6.1577,79656665.49789
3.0297,404870.11710
9.5963,2419825517.93418
6.3370,99155956.24804
9.6853,2599440919.10197
1.9515,19240.06748
7.3408,305792792.93798
6.0112,66304741.12963
2.1667,38623.97076
7.1723,255848302.17407
3.5131,1187749.48271
1.4440,3038.30392
3.8450,2308668.26216
1.4405,2997.23401
6.3404,99562824.52539
6.4739,116739109.51897
9.2148,1767028651.52221
3.3797,894827.03790
2.5608,122341.07816
6.9433,199473986.92090
9.8538,2971671254.81217
7.6200,407445584.56591
5.4107,29815009.80948
1.0971,772.17768
5.2925,25225464.86078
8.3494,824225064.17976
4.0028,3109724.11703
3.8580,2367010.57363
8.8504,1293040381.23625
4.3681,5957650.19080
4.9803,15940046.59363
9.3286,1943290756.43792
9.5775,2383305493.80145
5.6736,42724283.70790
2.6194,143446.74909
2.2270,46535.39558
2.5445,116981.32058
8.2717,766839613.51511
4.2266,4659993.36188
5.9240,59325012.43665
7.0738,230090334.80225
3.6546,1587359.75555
4.4658,7028905.24570
4.3978,6267029.63506
1.6630,6968.07997
9.8441,2949043568.67569
6.4591,114715230.71867
8.8930,1341974090.15611
5.0663,18136361.77271
1.4273,2847.04625
1.4073,2633.09519
2.8380,253327.21037
6.2458,88771446.45947
9.7582,2755147459.79436
8.0201,604273689.53283
5.9036,57788213.86993
6.5826,132586132.65958
9.8371,2932808100.12112
6.5458,127022571.98959
4.7209,10659240.50293
7.3604,312122173.47669
5.8786,55952479.78497
2.1826,40584.09295
6.0756,71910949.40189
9.2276,1786129157.49034
2.7498,202309.96253
3.0753,450930.90223
1.0484,638.48715
2.3883,75230.00400
7.9222,549698288.66267
8.7038,1136362897.86412
5.6117,39310981.03401
2.1130,32612.69539
7.2118,266865663.52947
1.7046,8113.60934
1.9345,18169.72069
4.4673,7046587.23310
1.1204,846.26482
3.1367,520200.52648
3.9281,2704439.61448
2.7740,215315.29077
6.0370,68502994.86491
9.4428,2135450016.93419
4.8539,13134801.02356
4.9335,14845657.42453
2.5191,109042.51349
9.1398,1658661393.28778
3.1093,488211.92559
9.4681,2180202928.50531
5.5170,34550532.91306
6.0558,70144742.49596
5.6436,41038946.28224
1.8856,15383.39857
9.7151,2662134118.33741
3.1285,510439.60928
2.0462,26309.25183
8.1354,674580521.45427
9.7834,2810838043.57398
5.6643,42195467.73870
1.3864,2426.00442
3.0231,398558.61556
1.1940,1132.36056
1.7642,10057.09148
2.4097,80027.38958
9.0710,1564412705.43051
1.5046,3839.75327
6.5338,125253093.64851
8.4170,877172489.60101
8.4182,878138649.46227
7.1722,255820923.18564
