sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
2,0,-4.610231646666037e+17,-1499129847156200.5,-1293205683907.9294,37131988531.46759,474324185.3464624,4203667.355555874,32293.269577590498,229.31369603866355,1.5482580920441475
2,1,-1.4093884885989391e+18,-4105669103830910.0,-4856202562951.091,58809514083.92071,732521360.6557347,5966326.722058572,41885.42298924619,272.25185667091534,1.6875084505339777
2,2,-7.733488094715659e+16,-316563274026120.75,-401575225906.9457,11347264518.705626,186797105.20241573,2102192.297905951,20476.36297793223,184.38926953766702,1.5791812395721845
2,3,-5.006765803832946e+16,-190557090288598.8,174686925398.3672,13617780762.533104,188287612.19249788,1975892.3615329845,18334.69028682249,158.70776156117492,1.3151266731131555
2,4,-4.221501891536854e+17,-1386377003293257.0,-1554458493409.1785,30396485068.07484,414609909.47450316,3839084.3382265847,30862.15203138857,230.29668025921492,1.6406468488739698
2,5,-1.0161934580744814e+18,-2814003214605085.0,-268258217952.92844,75747017957.69858,782013417.4173989,5918655.926979798,39249.2129824843,241.56491361251094,1.4174203679791488
2,6,-3.50014520742834e+17,-1120259162420835.6,-267566434760.65576,37813648676.638115,452890718.06669724,3946765.686936932,30083.424675329334,212.65791896288022,1.4324889919921118
2,7,-1.9668549601127212e+16,-94739534255433.47,-154893629851.1025,4489304218.98792,89708216.84834933,1217885.9440075608,14355.240646710725,157.05262187571554,1.6402136002778127
2,8,-1.5091841049215606e+17,-523576292082725.25,53476374396.601204,24139910311.99473,309174212.82431513,2931264.011657988,24405.675418952826,188.8165841109868,1.3940672586753593
2,9,-7.409127235368005e+17,-1806283599708618.0,3674113028440.4277,88957900019.45721,795019775.882719,5607836.548074466,35449.89876336715,210.76576699176397,1.2069436859828497
2,10,-1.1440521342467036e+18,-3410385993971553.5,-4098187459245.9126,51709977103.81013,658784839.0464994,5501668.471281122,39632.283273423425,264.4702414399702,1.683661072293743
2,11,-2.4169057756082816e+16,-109238765275423.94,-50918802168.73468,6997363831.111655,118488598.246758,1450910.4600011855,15516.59991142604,153.80375570746335,1.4523390359938562
2,12,-1.170820000416714e+17,-318648739689316.5,1482441195067.5981,32412954428.868587,338400846.78824246,2867245.883236226,22030.36507820868,160.40465056348594,1.131030019545774
2,13,-6.476274564553527e+17,-298531657125008.06,15526156393130.283,144636544568.0025,955984108.0402768,5592242.542140352,30966.239650363586,166.81913084131847,0.8855605497626288
2,14,-3.235620800750287e+17,-1063786357798553.0,-501683605597.91394,33920432527.567093,423171381.57014287,3787850.194824146,29570.181068925634,213.81713887522506,1.471901889804412
2,15,-1.0247280320969117e+18,-1394023755987768.2,14297300587474.902,159772016083.82126,1110154446.2055738,6570457.766591994,36093.43761141024,190.6292732535182,0.984630666108792
2,16,-1.0372858328641568e+18,-2998298696848448.5,-1946341073316.0469,64157260725.3259,722336349.6744442,5721998.48465469,39407.63741995039,251.1450042891261,1.5226379287718512
2,17,-1.9296231203869616e+17,-683625531395625.8,-421015893687.41943,23939864340.48371,323451339.78793067,3111822.3269360443,26067.296458890058,202.12891937506404,1.4915851167388607
2,18,-6.198147944912484e+17,-2021827036098407.2,-2693074890851.9556,35605353701.22337,493363096.83925027,4447840.7052657,34460.95705598181,246.59545602842525,1.679027185067498
2,19,-1.1589282439635549e+17,-305789687570349.2,1593573549719.3765,33037724869.28847,340047669.4393343,2855871.8194110235,21801.53774384306,157.94560331721016,1.1092417887555195
2,20,-1.3015297196608742e+18,-3513474118657371.0,-514819278810.8031,87184089590.8316,879249049.6729203,6477446.042961901,41776.91852627387,249.98034280424696,1.4257102171892289
2,21,-4.416827448138206e+17,-1334918393817023.8,184091456249.89294,47696489032.61415,530937260.01311284,4384869.764570337,31819.720483756097,214.62849033104055,1.3819444989501226
2,22,-4.6636433860896576e+17,-524209357762742.94,9541783034558.172,105688430302.82938,773839034.0483681,4905148.248384506,29098.232819589117,166.79630700001525,0.9380889625737492
2,23,-9.365612134055121e+17,-680010836431568.5,18401950797617.773,173467222324.61926,1125425318.8752246,6398320.972243824,34257.03773278673,177.89653213820637,0.908585215464316
2,24,-2.4158663118216275e+17,-870790863223696.0,-1214011909896.1357,20199160651.5632,307686649.7380562,3100757.9786783527,26981.19803756925,217.43567961732438,1.670739593931421
2,25,-8.884736389201398e+17,-2413698810100929.5,845525644094.9874,77520201069.73036,771117818.1005671,5753107.71392651,37822.22767845467,231.46906882492377,1.35375758021124
