sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,1.3556454996364866e+22,-1.4654563870591812e+20,4.5058528810283776e+17,-207119046336806.9,-634952640418.7854,-239524929.85947385,760794.1064435081,2021.9603786368905,3.3104275498029847
5,1,9.005263492647699e+21,-5.907367140199373e+19,7.766911351387904e+16,102235619912330.25,-92143171149.89853,-322111698.8079794,-134947.5177345081,1177.0663239853725,4.598154377305011
5,2,5.511252423567462e+20,-1.9640246552469893e+19,1.6711786625462435e+17,-337271004514384.5,-363600444439.0381,42480812.815162994,775005.5568144638,1812.9746455303937,3.189066976476601
5,3,9.39475117676599e+21,-9.830313079695032e+19,2.5858304707160646e+17,51991028830733.91,-356511446526.3752,-467697097.6745869,102608.68998826754,1617.3742825106835,4.252755207423793
5,4,1.3544541591054278e+21,-1.7157782478289648e+19,4.221989302524347e+16,32864732069429.57,-93428954151.33429,-216208970.68824938,1560.4827669354997,1180.1605309667948,4.343915046345512
5,5,-3.3617690884459987e+21,6.076359990512697e+19,-2.4514787188438787e+17,-200530720537756.56,97487996343.59875,558595822.2062311,1093608.0701415644,1533.293640421921,1.527963300464555
5,6,1.4309539990519731e+22,-1.0641830514149668e+20,2.0602918437444717e+17,79861048591393.0,-301916305834.79004,-426018869.0066528,122167.7717146647,1601.657869205307,4.159258003644371
5,7,3.536683461462919e+22,-2.5436192526251314e+20,4.442167833724464e+17,189763712771455.47,-461911440061.16345,-670763272.6401854,31449.687318969125,1741.0313503696536,4.328937055527664
5,8,6.802874465264706e+22,-2.5890411811252968e+20,1.4859870505649133e+17,336073559559783.56,-28002173739.896053,-531823942.91987485,-392470.5544836807,1193.8957251119425,4.852453650070939
5,9,2.0810938274599535e+19,-2.2428450487779425e+18,6.197444373020144e+16,-445796648632618.1,10561744982.53131,580515347.2534752,1099490.4490424914,1570.5173279185801,2.0171768454809538
5,10,1.4945423016445704e+22,-1.0699231427108756e+20,1.7556852737679648e+17,131567081617157.05,-240005664702.25897,-460099883.021456,-658.0661016101617,1519.7871105665306,4.32550610401565
5,11,1.3175800626233388e+20,-9.96093320760482e+18,1.3487177200538299e+17,-469831813567826.25,-19095348578.360928,623502404.3256279,1159477.616482595,1577.2897859566062,1.9223942075913714
5,12,-2.2262062734970215e+22,7.813777394076901e+19,5.28152571360561e+16,-93556266792436.97,-256440560783.02982,-243815603.89639693,223581.95945086612,1513.9489731610797,4.092817759386929
5,13,6.917451586172939e+19,-2.4935876570023716e+18,1.5214195809233624e+16,-5409280119738.7705,-62585237183.265465,-88720099.29913396,125539.09147715697,1090.3413278959001,3.9253224841546914
5,14,3.0070774083996494e+21,-8.305178425209831e+19,5.5689883284676666e+17,-233896345584481.94,-701545778849.8898,-499655044.4111186,389638.251445186,1920.0625092975308,4.033512864654169
5,15,1.0853710313627184e+21,-2.580369331094095e+19,1.8753109607361274e+17,-389662248389594.6,-277663529749.73773,303206414.7861747,1024712.050794483,1752.5314173973948,2.461440215557334
5,16,1.085666015936529e+22,-1.292165665125652e+20,4.1861290647283283e+17,-176073350747663.75,-611153710658.6309,-279865405.3145713,685263.9001746847,1992.751397147482,3.419698127491156
5,17,4.3504705250111264e+21,-5.137183504137965e+19,1.7402188070797994e+17,-61068078985501.84,-337386225347.4883,-228778524.31850538,442053.80702080193,1710.5128665314658,3.57566883803226
5,18,2.841892385648525e+22,-1.710065570635135e+20,2.3552142139915997e+17,200695087535379.72,-244525668156.5792,-549004650.7536893,-120486.06317968879,1483.9264324810968,4.523828014735944
5,19,5.004269753009335e+21,-1.5468800781724156e+20,5.750054320247977e+17,-286574658666952.06,-748685147691.9623,-284552203.1992331,791853.8231888937,2095.4189246418655,3.3763950922559958
5,20,3.02975201142568e+22,-2.295314297432911e+20,1.9996314611057472e+17,373112520035991.4,53864164872.74173,-537961914.7060188,-738175.910646138,668.9317776806798,5.634779430066285
5,21,2.5352306916136845e+21,-6.769173114537514e+19,3.206621835089182e+17,-282099457787644.3,-514981189487.76904,-89317051.56002702,801944.8213531957,1934.580911032208,3.16607619864217
5,22,1.6685945508156452e+21,-3.929074996264513e+19,2.3399687274406323e+17,-382252590248807.4,-284412404984.5589,323265930.30038625,1057030.0747689472,1742.1165872228285,2.3471705539255225
5,23,1.748954261499469e+19,-4.014142513477904e+18,3.9279828285969096e+16,-45624221596693.86,-131382066719.22495,-69329274.07294104,332684.80242600554,1358.0523902130562,3.449393984461053
5,24,5.550012002352665e+18,-3.297266510623114e+17,4770085078868186.0,-15941096853687.377,-23920645977.910336,40177909.2795085,284045.32790885505,935.0435690809647,2.4858696949976236
5,25,8.605123044482163e+22,-3.3838718650494334e+20,2.222769367259848e+17,405813589058284.56,-81127018882.27582,-623661880.5881834,-387775.0949621288,1293.2394300214546,4.807417085942031
5,26,2.06632209833283e+22,-5.354887367756979e+20,1.1213030613298584e+18,574984063386062.5,-724605292799.953,-1428433041.056815,-757580.0510490647,1584.448665615206,5.565551394849872
