# Polynomial: y = 3.3275x^0 + 3.1475x^1 + 5.3490x^2 + 9.7867x^3 + 0.8464x^4 + 0.7487x^5 + 4.7043x^6 + 2.9441x^7 + 3.1872x^8
x_base,nonce,f(x_base+nonce)
2.03209863,93.0421,21487219636515240.00000
1.96207034,61.4015,840561900282108.75000
1.95978792,26.9284,1598046026991.91284
2.00974315,63.0181,1033902801025581.25000
1.98886679,54.6526,343326904701116.50000
2.04647531,11.9413,5015030829.45237
2.01129256,70.0185,2339714963118419.00000
2.01887085,99.5408,36406045133924680.00000
1.93166768,77.5463,5134548893024808.00000
2.02217169,76.9217,4865312679983861.00000
1.94908817,61.7100,872379527400589.37500
1.99399464,4.2503,8746406.37013
1.98452396,78.6073,5738315654931424.00000
2.02974962,87.3232,13086597141717922.00000
2.04555923,65.0240,1323409938014264.50000
2.01521704,13.3199,10396855316.09318
2.04615394,28.6608,2599190246583.65234
1.95489191,66.1726,1499595166810836.00000
2.03666257,51.9972,235676100429929.12500
1.99448616,27.4854,1878165146436.36792
2.00243088,96.0369,27463188721552492.00000
2.01903744,82.7019,8553293931283471.00000
1.99043441,14.6199,19595632011.99689
2.01749528,33.1320,7630193293469.77832
1.98646383,30.3358,3910751060766.42676
1.96426624,36.2676,14914594312793.25195
2.00641634,87.6135,13402263405381470.00000
1.96989392,36.2135,14764466903469.69922
2.06083521,81.2249,7462015370174825.00000
1.97856072,77.8605,5323878668015842.00000
1.97678578,63.3744,1075675124469711.37500
2.00892739,68.7233,2023530163419715.50000
2.00701955,76.4339,4623153353318815.00000
1.98782608,81.2104,7399610896898213.00000
1.93714327,12.4030,6108070877.90838
2.03729150,40.2186,33132296291453.24609
1.99009034,17.2538,63063408637.27772
2.01749583,6.0250,63502124.45629
2.00269314,77.8619,5337494179210017.00000
1.99095187,22.2142,390838276667.88165
1.97406207,30.6128,4173292034486.36572
1.99274244,30.4079,3986969603670.07568
1.97151116,40.0071,31437203653265.75391
2.00617191,7.0675,164038239.86078
