sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8
5,0,1.486250788886752e+25,-4.273852612475589e+22,2.742825856203394e+19,1.1535940851953642e+16,-7020960214784.494,-6979633660.9151,-364979.9804852715,4355.534728484901,5.792936345942689
5,1,9.7526732063661e+24,-3.4454324898528057e+22,2.4228874318782067e+19,1.254434285159427e+16,-3431945502498.7803,-6772750432.417949,-2648149.6785608334,2875.624326957482,6.916625682892657
5,2,8.950718217350145e+22,-1.707787815534283e+21,8.956140049184762e+18,-1.0385310118823906e+16,-3391347574111.5166,2781997444.4262466,4526829.76886575,4083.9526587199875,3.0672836029136366
5,3,6.2314142967971e+22,-1.4654131619252174e+21,9.32614366702133e+18,-9181978759161440.0,-5140867716916.097,1001774322.5804014,3891756.9264961737,4347.678926957207,3.7302847166218425
5,4,1.1347083346845133e+25,-3.027436401450373e+22,1.7401813817892993e+19,9335681817129116.0,-4164129032432.9355,-5575582111.48968,-813041.8237138981,3756.569059929363,5.98887680079816
5,5,3.0558391219402326e+23,-8.585471114950024e+21,3.863261800942473e+19,-1.0388109820370086e+16,-13395784292965.521,-4431975350.40232,2310841.074577229,5029.070361887007,5.167195107935586
5,6,-1.1047697435607338e+25,1.7755207205259884e+22,3.3955840184572524e+18,-5647511376399832.0,-5669143824980.919,-2029337003.8551104,1654529.5876225184,4082.168822637562,5.181211337042902
5,7,1.2495697938918606e+24,-1.3120494254166368e+22,3.720613295873547e+19,-1.209428764453472e+16,-13929930233296.416,-3023105261.024687,3616898.130944878,5319.580167382621,4.636678299489844
5,8,4.844793121600308e+22,-9.518970638991661e+20,5.031414712086988e+18,-6676521650738902.0,-3911550672137.8496,441949903.32391673,3036049.9797032173,4061.4572027125737,4.151445447681037
5,9,2.8305920630253337e+22,-1.010530589470545e+21,8.502051615533656e+18,-1.555507777495689e+16,30567991315.146275,5855404213.813396,5563490.460125264,3914.1685177890563,2.477068962394918
5,10,1.070992174078371e+24,-9.534085940703125e+21,2.153304969368328e+19,-9277880562744976.0,-9177775013207.732,-716421133.7757057,3971835.5238534124,4874.84988012479,4.088977984080085
5,11,9.330399127788296e+22,-5.787740641322661e+21,2.6620467959772975e+19,-2.1902927247615012e+16,-10693260076637.725,1388551897.076551,5428818.171254584,5223.272527208047,3.8224829041593766
5,12,8.408384095507606e+23,-1.1625214074366988e+22,3.0192065174844994e+19,-1.0122455153196812e+16,-11722766680409.58,-2883617360.4211216,3033305.9140386917,5023.2231175796105,4.805936365598226
5,13,1.771299216904296e+24,-4.75196199913784e+21,1.352150513972099e+18,3012611653910734.5,665937747696.1549,-1724731838.4499137,-1640267.6116626083,1475.2420969599762,6.922906983167162
5,14,4.6066476193027383e+24,-2.9252355222664483e+22,4.323837702993382e+19,-5177631694618501.0,-13822446820676.252,-5134088244.603717,2186629.9271701076,5090.560054038456,5.2018267999877805
5,15,4.033996642757542e+24,-1.3428293738201484e+22,1.1016482550214472e+19,4367728088742509.5,-4594988183564.309,-4145200507.0662994,340798.60346450756,3986.17229716028,5.512360758320584
5,16,1.1360156317723026e+24,-7.276453714180157e+21,1.0456866029929091e+19,642681611166040.4,-5332321382639.84,-3073019855.643712,1261675.8652870853,4150.361809574385,5.124857440903961
5,17,-2.8584411595309467e+24,-2.4240327473690937e+21,1.4823493516211601e+19,1962002923388992.8,-6167394526806.36,-4868911851.131094,-31891.913871310015,3966.709555208692,5.83909041498899
5,18,2.165880169581562e+24,-1.3197960032851774e+22,2.1978562573311443e+19,-1818905187660985.2,-9440878977769.246,-5036799656.249942,841938.902373272,4523.891265610374,5.932124820335493
5,19,1.113227105654603e+25,-4.383312727700758e+22,4.3938544978332975e+19,3373803180370222.5,-13290825051004.604,-6401297565.636854,1796463.1900504848,5178.898880332679,5.179055573117558
5,20,3.629562552638562e+24,-1.4337215900234182e+22,1.3911652671325295e+19,3453319964763912.5,-5139763773373.318,-4203405458.9103894,263496.68093058775,3925.6272666776454,5.632549722119077
5,21,9.901523324767036e+23,-6.499163522175779e+21,6.84659453542937e+18,2644045227821560.0,-2573964700414.4233,-3107816668.890739,-339169.26509754255,3197.2584464114275,5.9289276779075
5,22,5.880398182217667e+22,-3.0946817934480386e+21,1.7940028511549831e+19,-2.7286348383130004e+16,-111859658483.17519,8268976908.909569,7015653.0919988435,4385.433584677516,2.4653569513627236
5,23,2.419569447688866e+23,-1.0281551275952746e+21,8.021726977582764e+17,979490887654243.4,-384727484249.78265,-1346182315.106796,-536716.95438863,2194.2171162848017,6.16610006441189
5,24,5.0052061839760064e+23,-2.2312476537481263e+21,2.3508537136562995e+18,1227222925113332.0,-1312871020679.7483,-1889251038.4306815,-184940.3447508128,2768.8472803371737,5.861319817370782
5,25,1.8721270255849647e+23,-1.7188052143156754e+21,4.6616534459561e+18,-2500215172175089.5,-3458857580998.9683,-735433951.3620069,2080685.5925667707,3798.8829478796615,4.458148535093549
5,26,1.1988987426575656e+25,-4.24747416054654e+22,4.166988376005432e+19,2384147982102214.5,-13341476355554.035,-5679016164.263344,2335236.9627581513,5254.242507948325,4.9573134701173025
5,27,6.430338593453405e+23,-3.2012407398381844e+21,3.996656765463838e+18,1161053458961105.0,-2457529825519.329,-2272576973.740553,400158.4263327592,3364.373148831772,5.452001274385555
5,28,2.1253405230448024e+23,-2.390266180698039e+21,7.714718764032397e+18,-5099665285312723.0,-4891591909743.435,-709159602.8167871,2530196.32040172,4117.067907021417,4.514784159729851
5,29,6.667657837771564e+23,-7.381173903794191e+21,1.813887464772724e+19,-8520193311204672.0,-8388583058691.63,-825115869.7419894,3680574.808464765,4776.667481901051,4.192249779303472
5,30,1.8037726441622293e+24,-2.6512194534423277e+22,2.9828941583892517e+19,5305896145328922.0,-8134833651997.347,-6059376220.516993,52005.456972376654,4282.359412386186,5.764200610366042
5,31,3.08006857060086e+24,-1.2106715631868128e+22,9.446343037515809e+18,4707292674986580.0,-2748334075951.3457,-3887371602.653331,-714682.2545520938,3251.5122583904363,6.06949214835426
5,32,1.0176772283657913e+25,-2.8101081274386448e+22,1.7477927569934584e+19,9080519118638886.0,-5263306246245.767,-5862161744.880633,-318978.17939106445,4136.771624730705,5.7686437849796794
5,33,1.4873681529795869e+24,-6.731342384964699e+21,7.594214029790257e+18,1834108872943673.2,-3586409991348.308,-3056772442.2190847,350012.11572522967,3620.175995190992,5.561295560007487
5,34,3.803679395943921e+22,-3.879298667676092e+20,1.21911704769455e+18,-796743050275513.0,-1365767254192.8428,-199816319.3816647,1518412.392360367,3033.888814752972,4.1098218304243845
